theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(9,1)",0.1,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(9,1)",0.1,0.02,2,1.0,0.0,0.0,0.0,0.0,0.0
"(9,1)",0.1,0.02,3,0.9,0.1,0.0,0.0,0.0,0.0
"(9,1)",0.1,0.02,4,0.57,0.39,0.04,0.0,0.0,0.0
"(9,1)",0.1,0.02,5,0.29,0.52,0.18,0.01,0.0,0.0
"(9,1)",0.1,0.02,6,0.13,0.47,0.28,0.11,0.01,0.0
"(9,1)",0.1,0.02,7,0.06,0.34,0.32,0.22,0.05,0.01
"(9,1)",0.1,0.02,8,0.01,0.26,0.22,0.33,0.14,0.04
"(9,1)",0.1,0.02,9,0.0,0.2,0.15,0.24,0.26,0.15
"(9,1)",0.1,0.02,10,0.0,0.14,0.1,0.19,0.27,0.3
"(9,1)",0.1,0.02,11,0.0,0.08,0.11,0.15,0.19,0.47
"(9,1)",0.1,0.02,12,0.0,0.04,0.11,0.1,0.18,0.57
"(9,1)",0.1,0.02,13,0.0,0.02,0.06,0.13,0.09,0.7
"(9,1)",0.1,0.02,14,0.0,0.01,0.04,0.09,0.11,0.75
"(9,1)",0.1,0.02,15,0.0,0.01,0.01,0.08,0.07,0.83
"(9,1)",0.1,0.02,16,0.0,0.01,0.0,0.07,0.08,0.84
"(9,1)",0.1,0.02,17,0.0,0.01,0.0,0.04,0.07,0.88
"(9,1)",0.1,0.02,18,0.0,0.01,0.0,0.04,0.02,0.93
"(9,1)",0.1,0.02,19,0.0,0.01,0.0,0.03,0.03,0.93
"(9,1)",0.1,0.02,20,0.0,0.01,0.0,0.01,0.04,0.94
"(9,1)",0.1,0.02,21,0.0,0.01,0.0,0.01,0.01,0.97
"(9,1)",0.1,0.02,22,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,23,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,24,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,25,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,26,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,27,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,28,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,29,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,30,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,31,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,32,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,33,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,34,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,35,0.0,0.01,0.0,0.01,0.0,0.98
"(9,1)",0.1,0.02,36,0.0,0.01,0.0,0.01,0.0,0.98
