theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(15,1)",0.3,0.02,1,0.92,0.08,0.0,0.0,0.0,0.0
"(15,1)",0.3,0.02,2,0.53,0.47,0.0,0.0,0.0,0.0
"(15,1)",0.3,0.02,3,0.33,0.52,0.15,0.0,0.0,0.0
"(15,1)",0.3,0.02,4,0.21,0.48,0.24,0.07,0.0,0.0
"(15,1)",0.3,0.02,5,0.15,0.35,0.35,0.14,0.01,0.0
"(15,1)",0.3,0.02,6,0.13,0.28,0.33,0.22,0.03,0.01
"(15,1)",0.3,0.02,7,0.11,0.23,0.33,0.25,0.07,0.01
"(15,1)",0.3,0.02,8,0.11,0.2,0.31,0.24,0.09,0.05
"(15,1)",0.3,0.02,9,0.08,0.16,0.35,0.21,0.13,0.07
"(15,1)",0.3,0.02,10,0.06,0.13,0.33,0.24,0.15,0.09
"(15,1)",0.3,0.02,11,0.05,0.11,0.31,0.23,0.21,0.09
"(15,1)",0.3,0.02,12,0.04,0.1,0.28,0.25,0.22,0.11
"(15,1)",0.3,0.02,13,0.03,0.07,0.29,0.21,0.26,0.14
"(15,1)",0.3,0.02,14,0.02,0.07,0.22,0.24,0.24,0.21
"(15,1)",0.3,0.02,15,0.01,0.08,0.16,0.25,0.23,0.27
"(15,1)",0.3,0.02,16,0.0,0.08,0.15,0.2,0.25,0.32
"(15,1)",0.3,0.02,17,0.0,0.05,0.15,0.18,0.22,0.4
"(15,1)",0.3,0.02,18,0.0,0.03,0.13,0.18,0.22,0.44
"(15,1)",0.3,0.02,19,0.0,0.01,0.09,0.19,0.21,0.5
"(15,1)",0.3,0.02,20,0.0,0.01,0.06,0.14,0.19,0.6
"(15,1)",0.3,0.02,21,0.0,0.01,0.05,0.09,0.2,0.65
"(15,1)",0.3,0.02,22,0.0,0.01,0.05,0.07,0.17,0.7
"(15,1)",0.3,0.02,23,0.0,0.01,0.05,0.06,0.11,0.77
"(15,1)",0.3,0.02,24,0.0,0.0,0.04,0.06,0.09,0.81
"(15,1)",0.3,0.02,25,0.0,0.0,0.01,0.05,0.11,0.83
"(15,1)",0.3,0.02,26,0.0,0.0,0.01,0.03,0.09,0.87
"(15,1)",0.3,0.02,27,0.0,0.0,0.0,0.02,0.06,0.92
"(15,1)",0.3,0.02,28,0.0,0.0,0.0,0.01,0.03,0.96
"(15,1)",0.3,0.02,29,0.0,0.0,0.0,0.01,0.03,0.96
"(15,1)",0.3,0.02,30,0.0,0.0,0.0,0.01,0.02,0.97
"(15,1)",0.3,0.02,31,0.0,0.0,0.0,0.01,0.02,0.97
"(15,1)",0.3,0.02,32,0.0,0.0,0.0,0.01,0.02,0.97
"(15,1)",0.3,0.02,33,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,34,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,35,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,36,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,37,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,38,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,39,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,40,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,41,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,42,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,43,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,44,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,45,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,46,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,47,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,48,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,49,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,50,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,51,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,52,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,53,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,54,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,55,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,56,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,57,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,58,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,59,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,60,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,61,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,62,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,63,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,64,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,65,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,66,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,67,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,68,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,69,0.0,0.0,0.0,0.01,0.0,0.99
"(15,1)",0.3,0.02,70,0.0,0.0,0.0,0.01,0.0,0.99
