theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(4,1)",0.2,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(4,1)",0.2,0.02,2,0.86,0.14,0.0,0.0,0.0,0.0
"(4,1)",0.2,0.02,3,0.74,0.23,0.03,0.0,0.0,0.0
"(4,1)",0.2,0.02,4,0.42,0.47,0.1,0.01,0.0,0.0
"(4,1)",0.2,0.02,5,0.24,0.52,0.19,0.04,0.01,0.0
"(4,1)",0.2,0.02,6,0.14,0.43,0.31,0.11,0.0,0.01
"(4,1)",0.2,0.02,7,0.08,0.35,0.33,0.21,0.02,0.01
"(4,1)",0.2,0.02,8,0.07,0.23,0.35,0.31,0.03,0.01
"(4,1)",0.2,0.02,9,0.05,0.2,0.27,0.39,0.08,0.01
"(4,1)",0.2,0.02,10,0.05,0.14,0.26,0.37,0.15,0.03
"(4,1)",0.2,0.02,11,0.03,0.14,0.21,0.33,0.21,0.08
"(4,1)",0.2,0.02,12,0.03,0.12,0.17,0.3,0.26,0.12
"(4,1)",0.2,0.02,13,0.02,0.1,0.17,0.23,0.28,0.2
"(4,1)",0.2,0.02,14,0.02,0.07,0.15,0.25,0.28,0.23
"(4,1)",0.2,0.02,15,0.02,0.06,0.11,0.22,0.27,0.32
"(4,1)",0.2,0.02,16,0.02,0.04,0.11,0.19,0.2,0.44
"(4,1)",0.2,0.02,17,0.02,0.04,0.06,0.17,0.19,0.52
"(4,1)",0.2,0.02,18,0.02,0.04,0.06,0.15,0.16,0.57
"(4,1)",0.2,0.02,19,0.01,0.05,0.05,0.11,0.16,0.62
"(4,1)",0.2,0.02,20,0.01,0.04,0.05,0.09,0.15,0.66
"(4,1)",0.2,0.02,21,0.01,0.04,0.05,0.07,0.11,0.72
"(4,1)",0.2,0.02,22,0.01,0.04,0.05,0.07,0.07,0.76
"(4,1)",0.2,0.02,23,0.01,0.04,0.04,0.07,0.05,0.79
"(4,1)",0.2,0.02,24,0.01,0.04,0.04,0.05,0.06,0.8
"(4,1)",0.2,0.02,25,0.01,0.04,0.04,0.05,0.03,0.83
"(4,1)",0.2,0.02,26,0.01,0.04,0.04,0.05,0.03,0.83
"(4,1)",0.2,0.02,27,0.01,0.04,0.04,0.05,0.02,0.84
"(4,1)",0.2,0.02,28,0.01,0.04,0.04,0.04,0.03,0.84
"(4,1)",0.2,0.02,29,0.01,0.03,0.05,0.04,0.03,0.84
"(4,1)",0.2,0.02,30,0.01,0.03,0.04,0.05,0.01,0.86
"(4,1)",0.2,0.02,31,0.01,0.03,0.04,0.05,0.01,0.86
"(4,1)",0.2,0.02,32,0.01,0.03,0.03,0.06,0.01,0.86
"(4,1)",0.2,0.02,33,0.01,0.03,0.03,0.06,0.01,0.86
"(4,1)",0.2,0.02,34,0.01,0.03,0.03,0.04,0.03,0.86
"(4,1)",0.2,0.02,35,0.01,0.03,0.03,0.04,0.02,0.87
"(4,1)",0.2,0.02,36,0.01,0.03,0.02,0.05,0.01,0.88
"(4,1)",0.2,0.02,37,0.01,0.03,0.02,0.05,0.01,0.88
"(4,1)",0.2,0.02,38,0.01,0.03,0.01,0.06,0.01,0.88
"(4,1)",0.2,0.02,39,0.01,0.02,0.02,0.04,0.03,0.88
"(4,1)",0.2,0.02,40,0.01,0.02,0.01,0.05,0.01,0.9
"(4,1)",0.2,0.02,41,0.01,0.02,0.01,0.05,0.01,0.9
"(4,1)",0.2,0.02,42,0.01,0.02,0.01,0.04,0.02,0.9
"(4,1)",0.2,0.02,43,0.01,0.02,0.01,0.04,0.01,0.91
"(4,1)",0.2,0.02,44,0.01,0.02,0.0,0.05,0.01,0.91
"(4,1)",0.2,0.02,45,0.01,0.02,0.0,0.05,0.01,0.91
"(4,1)",0.2,0.02,46,0.01,0.02,0.0,0.05,0.01,0.91
"(4,1)",0.2,0.02,47,0.01,0.02,0.0,0.05,0.01,0.91
"(4,1)",0.2,0.02,48,0.01,0.02,0.0,0.04,0.02,0.91
"(4,1)",0.2,0.02,49,0.01,0.02,0.0,0.04,0.02,0.91
"(4,1)",0.2,0.02,50,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,51,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,52,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,53,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,54,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,55,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,56,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,57,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,58,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,59,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,60,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,61,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,62,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,63,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,64,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,65,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,66,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,67,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,68,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,69,0.01,0.02,0.0,0.04,0.01,0.92
"(4,1)",0.2,0.02,70,0.01,0.02,0.0,0.04,0.01,0.92
